,Model,Month,Month_LY,Change,YTD,YTD_LY,YTD_Change
224,Kia Sedona,"1,463","1,126",29.93,"15,843","17,928",-11.63
225,Nissan Sentra,"11,033","17,567",-37.19,"184,618","213,046",-13.34
226,Toyota Sequoia,876,"1,131",-22.55,"10,289","11,121",-7.48
227,Toyota Sienna,"5,176","6,719",-22.96,"73,585","87,672",-16.07
228,GMC Sierra,"22,628","22,729",-0.44,"232,325","219,554",5.82
229,Chevrolet Silverado,"53,785","54,424",-1.17,"575,569","585,582",-1.71
230,Mercedes-Benz SL-Class,140,158,-11.39,"1,791","2,126",-15.76
231,Mercedes-Benz SLC-Class,147,152,-3.29,"1,916","1,993",-3.86
232,Hyundai Sonata,"7,105","8,705",-18.38,"87,466","105,118",-16.79
233,Chevrolet Sonic,"1,100",934,17.77,"13,970","20,613",-32.23
234,Kia Sorento,"7,899","8,502",-7.09,"96,531","107,846",-10.49
235,Kia Soul,"6,713","10,128",-33.72,"97,814","104,709",-6.58
236,Chevrolet Spark,"3,627","1,747",107.61,"31,280","23,603",32.53
237,Kia Sportage,"8,125","6,998",16.10,"88,977","82,823",7.43
238,Mercedes-Benz Sprinter,"3,738","3,138",19.12,"29,757","27,564",7.96
239,Alfa Romeo Stelvio,856,"1,063",-19.47,"9,444","12,043",-21.58
240,Kia Stinger,"1,057","1,289",-18.00,"13,884","16,806",-17.39
241,Chevrolet Suburban,"3,373","5,132",-34.28,"51,928","60,633",-14.36
242,Toyota Supra,404,0,0.00,"2,884",0,0.00
243,Toyota Tacoma,"20,727","21,531",-3.73,"248,801","245,659",1.28
244,Chevrolet Tahoe,"6,942","8,333",-16.69,"101,189","104,152",-2.84
245,Ford Taurus,282,"3,475",-91.88,"13,423","40,341",-66.73
246,Porsche Taycan,130,0,0.00,130,0,0.00
247,Kia Telluride,"6,824",0,0.00,"58,932",0,0.00
248,GMC Terrain,"9,239","10,668",-13.40,"101,470","114,311",-11.23
249,Volkswagen Tiguan,"7,931","8,542",-7.15,"109,963","103,022",6.74
250,Nissan Titan,"1,916","4,661",-58.89,"31,514","50,459",-37.55
251,Acura TLX,"2,847","2,831",0.57,"26,548","30,468",-12.87
252,Volkswagen Touareg,7,58,-87.93,160,"2,022",-92.09
253,Ford Transit,"12,145","11,348",7.02,"153,867","137,794",11.66
254,Ford Transit Connect,"3,361","3,188",5.43,"41,597","31,923",30.30
255,Chevrolet Traverse,"11,075","13,350",-17.04,"147,122","146,264",0.59
256,Chevrolet Trax,"10,878","7,556",43.97,"116,817","89,917",29.92
257,Audi TT,89,16,456.25,"1,324","1,289",2.72
258,Toyota Tundra,"8,714","11,216",-22.31,"111,673","118,258",-5.57
259,Hyundai Tuscon,"11,224","15,384",-27.04,"137,381","153,792",-10.67
260,Lexus UX,"1,933",453,326.71,"16,723",453,"3,591.61"
261,Hyundai Veloster,712,"1,161",-38.67,"12,849","10,871",18.20
262,Hyundai Venue,787,0,0.00,"1,077",0,0.00
263,Nissan Versa,"3,265","6,735",-51.52,"66,596","75,809",-12.15
264,Chevrolet Volt,122,"1,710",-92.87,"4,911","18,306",-73.17
265,Jeep Wrangler,"17,126","19,800",-13.51,"228,042","240,032",-5.00
266,BMW X1,"1,788","3,411",-47.58,"17,815","29,057",-38.69
267,BMW X2,"1,093","1,454",-24.83,"11,293","16,154",-30.09
268,BMW X3,"8,090","8,511",-4.95,"70,110","61,351",14.28
269,BMW X4,"1,333",612,117.81,"8,758","4,323",102.59
270,BMW X5,"7,757","7,323",5.93,"54,595","45,013",21.29
271,BMW X6,557,483,15.32,"4,240","6,862",-38.21
272,BMW X7,"3,159",0,0.00,"21,574",0,0.00
273,Volvo XC40,"1,979","1,316",50.38,"17,647","12,420",42.09
274,Volvo XC60,"3,537","3,387",4.43,"30,578","32,689",-6.46
275,Volvo XC90,"4,609","3,157",45.99,"35,760","31,609",13.13
276,Jaguar XE,196,443,-55.76,"3,551","4,704",-24.51
277,Jaguar XF,95,153,-37.91,"1,236","2,208",-44.02
278,Cadillac XT4,"2,928","2,557",14.51,"31,987","7,785",310.88
279,Cadillac XT5,"3,677","4,586",-19.82,"49,878","60,566",-17.65
280,Cadillac XT6,"2,361",0,0.00,"11,560",0,0.00
281,Cadillac XTS,350,"1,710",-79.53,"11,306","17,729",-36.23
282,Toyota Yaris,932,"1,252",-25.56,"21,916","27,209",-19.45
283,GMC Yukon,"6,903","8,565",-19.40,"74,672","74,678",-0.01
284,BMW Z4,233,0,0.00,"2,941",4,"73,425.00"
